text,trust,fear,surprise,sadness,disgust,anger,anticipation,joy
@dichyduk @muhamadotib @Syamsul_Faroh @AKanabra @DPP_LPI @Gerindra @PKSejahtera @MardaniAliSera Hahahaha modal meme…,0,0,0,0,0,0,0,1
@Andrec2nr @Gerindra @prabowo Ga liat data kalo partai merah paling banyak yg korupsi..,0,0,0,0,1,0,0,0
"@maslani_zaki @wiranto1947 @Gerindra @SBYudhoyono su'udzon itu dosa loh, gak capek gitu ya negative thinking trs @Gerindra",0,0,0,0,0,1,0,0
@fadlizon @Gerindra tidak ada kata terlambat untuk sebuah kebaikan.\nterlambat untuk menjadi orang baik baru itu kerugian.,1,0,0,0,0,0,0,0
@WikiDPR #Kom4 Edhy Prabowo @Gerindra #Sumsel1: yg gak kooperatif jangan terlalu banyak kita kasih kesempatan lah.,1,0,0,0,0,0,0,0
@GunRomli Kok bisa senjata api ada sama napi.. kok bisa ada senjata tajam panjang lagi. USUT TUNTAS\nPanah pun ada..…,0,0,0,0,0,1,0,0
Bagaimana bangsa ini mau maju kalau generasi milenialnya pesimis? Makanya ayo kita optimis! #MilenialOptimis…,0,0,0,0,0,0,0,1
"@kusmansadik @MataNajwa @Yusrilihza_Mhd @NajwaShihab Padahal judulnya sudah nggak fair, kemana mata-nya, kok bisa m…",0,1,0,0,0,0,0,0
"Min @DivHumas_Polri mungkin bisa cek berita ini, apa betul statemen Kapolri. Koq sy rasa ada salah kutip ya?\n\nJk ha…",0,0,0,0,0,0,1,0
@Yusrilihza_Mhd tolong di cek betul dr partai bulan bintang apa bukan,0,0,0,0,0,0,1,0
@Ayeesa33 @fathonianton01 @coffee_panas_ @MataNajwa @TRANS7 @PBB2019 @Yusrilihza_Mhd Aamiin allohuma aamiin,0,0,0,0,0,0,0,1
"@adealdeya1 @Yusrilihza_Mhd Aceh itu keturunan arab,cina,eropa, hindia belanda benar ga",0,0,0,0,0,0,0,1
"Tanya ke bang @adv_supyadi atau sekaligus ke pak @Yusrilihza_Mhd sbg pakar hukum, mungkin bisa kasih pencerahan",1,0,0,0,0,0,0,0
"Kok baru tau sih pak Tito?? bukankah napi2 di situ dah lama banget ada?\n\nJadi Ingat, waktu Alexis mau di tutup pak…",0,0,0,0,0,0,1,0
Kalau memang over capacity kenapa Ahok dipaksakan utk ditempatkan di sana? Akibatnya bukan hanya melanggar UU tapi…,0,0,0,0,0,1,0,0
Bangsa kita tidak akan maju kalo kita terus-menerus pesimis. Ayo kita optimis! #MilenialOptimis @Yusrilihza_Mhd @airlangga_hrt @Hary_Tanoe,0,0,0,0,0,0,0,1
RAME YANG NONTON 212 THE POWER OF LOVE..\nkirain sepi karna ada kasus d mako brimob.\n@detikcom @VIVAcoid @na_dirs…,1,0,0,0,0,0,0,0
Kapolri Akui Mako Brimob Tak Layak Jadi Rutan Teroris,1,0,0,0,0,0,0,0
SUDAH DI AKUI KAPOLRI MAKO BRIMOB TIDAK LAYAK UNTUK NAPI TERORIS.\n@NetizenTofa @TsamaraDKI @Fahrihamzah…,0,0,0,0,0,1,0,0
@emerson_yuntho @PBB2019 @Yusrilihza_Mhd @hmskaban @KPK_RI Inti butuh sumbngan...lbh baik bung @emerson_yuntho  juj…,0,0,0,0,0,0,0,1
@RahmatR35554528 @mbahenanang @m_mirah @Yusrilihza_Mhd @laodeida @SaidDidu Hoax lah.bikin org jd bodoh.mrk digajii…,0,0,0,0,0,1,0,0
@TRANS7 @Yusrilihza_Mhd Kadang politisi itu untuk kepentingan partai apapun di lakukan mau berbasis agama atau nasionalis juga sama gitu.,0,1,0,0,0,0,0,0
"Kok sepi berita kemenangan Mahathir ya...cc Prof @na_dirs  ,Kang @maman1965 ,Prof @Yusrilihza_Mhd",0,0,0,1,0,0,0,0
"@JKFC23456789 @TheArieAir @Yusrilihza_Mhd @gm_gm Mungkin ini urusan fee, jadi apapun bisa digadai demi perut dan lo…",1,0,0,0,0,0,0,0
"Bro, coba simak &amp; renungkan apa yg menjadi keprihatinan Mahathir Muhammad ttg kondisi yg mirip dgn apa yg terjadi d…",1,0,0,0,0,0,0,0
"Tidak jauh berbeda apa yg dialami ibu pertiwi hari ini, jangan sampai terlambat saudaraku #2019gantipresiden…",0,0,0,0,0,0,1,0
Parpol antikorupsi itu salah satunya  @PBB2019 yg dipimpin oleh @Yusrilihza_Mhd dan @hmskaban Tidak pernah bela kor…,1,0,0,0,0,0,0,0
@JKFC23456789 @Yusrilihza_Mhd @gm_gm @TheArieAir Pendukung HTI slmat nyungsep 2019,0,0,0,0,0,0,0,1
@Yusrilihza_Mhd Turut berduka cita dan teriring do'a semoga almarhum segala khilaf dan dosanya diampuni dan seluruh…,0,0,0,1,0,0,0,0
"@ulinyusron Ini hoax apa asli, @DivHumas_Polri tolong klarifikasinya.\nTelegraph gini yg katanya rahasia bisa bereda…",0,0,0,0,0,0,1,0
@sahabatsudirman @DirmanIdaJateng @Gerindra @PKSejahtera @DPP_PKB @SudirmanInfo @GerilyawanSS maju terus para penge…,0,0,0,0,0,0,0,1
@PKSejahtera Simpatisan partaimu yang membuat teroris tumbuh menjamur,0,0,0,0,1,0,0,0
"@SiBonekaAyu @MurtadhaOne @hnurwahid @PKSejahtera Wahai teroris, ke mana kalian saat terminologi agama, seperti Liq…",0,0,0,0,0,1,0,0
@Al_Fatih1453__ @msi_sohibuliman @PKSejahtera @hnurwahid Ini FA orang yg ngibul bacot...,0,0,0,0,0,1,0,0
@PKSejahtera Pks sudah habis,1,0,0,0,0,0,0,0
"@RestyCayah @Ichwanzein @PKSejahtera @msi_sohibuliman @hnurwahid fitnah lebih keji drpd pembunuhan, khusus faizal hukum pancung yg pantas",0,0,0,0,1,0,0,0
@4Y4NKZ @P3nj3l4j4h @TirtoID Woooooow produksi @PKSejahtera keren kereeeeeeen yak\n\n#KamiBersamaPolri\n#BersatuMelawanTeroris,0,0,0,0,0,0,0,1
Kami sudah sadar bahkan sejak anasir radikal wahhabi membentuk @PKSejahtera tapi kami meminta dicatat karena partai…,1,0,0,0,0,0,0,0
@MohammadTaofiQy @mikhaella_tasya @faizalassegaf @PKSejahtera @jokowi yang mau bantu banding HTI .. sampe lupa kerjaan,0,0,0,0,0,0,0,1
@MohammadTaofiQy @faizalassegaf @PKSejahtera @jokowi Aq Arek Suroboyo..lahirku di Suroboyo..aq g pengen Suroboyo yg damai di acak2 teroris..,0,0,0,0,0,1,0,0
@sahabatsudirman @DirmanIdaJateng @Gerindra @PKSejahtera @DPP_PKB @SudirmanInfo @GerilyawanSS ayo tata negri bareng pak ss @humasjateng,1,0,0,0,0,0,0,0
Haddeh Waspada Pks !! Terduga Pengikut Jaringan ISIS di Juanda adalah Kader PKS lewat…,0,1,0,0,0,0,0,0
AKU KUDU PIYE JAL @tifsembiring @PKSejahtera .MEMANG KALIAN INI BIADAB BANGSAT!!!!,0,0,0,0,0,1,0,0
@ArdianzidanYuma @DPR_RI @jokowi @Fahrihamzah @fadlizon @PKSejahtera @Gerindra Styap hari kerjanya udah nyinyir knp…,0,0,0,0,1,0,0,0
@mikhaella_tasya @faizalassegaf @PKSejahtera @jokowi Sama aq juga makanya aq sudahin hiatus sosmed...,1,0,0,0,0,0,0,0
@roiz_dudunk @mikhaella_tasya @faizalassegaf @PKSejahtera @jokowi Klo aq baca di forum seh ada yg bilang krena ga a…,1,0,0,0,0,0,0,0
"Cabut Laporan, Fahri Hamzah Pilih Damai dengan Sohibul Iman",0,0,0,0,0,0,0,1
Alhamdulillah...segala puji bagi Allah SWT yg telah melembutkan hati para pemimpin kebaikan...@Fahrihamzah…,0,0,0,0,0,0,0,1
"Milad ke-20, PKS Undang Empat Puluh Orang Penyandang Disabilitas #Milad20TahunPKS",0,0,0,0,0,0,0,1
"Kadernya saja sudah ada yg terlibat kasus terorisme setahun lalu, pantas @PKSejahtera menolak revisi UU Antiteroris…",0,0,0,0,0,1,0,0
@MohammadTaofiQy @faizalassegaf @PKSejahtera Kita hrs dorong pak @jokowi utk membuat Perppu kak..g ada pilihan lagi..,0,0,0,0,0,0,0,1
@faizalassegaf @jokowi @sandiuno @MardaniAliSera #Syi*h tukang fitnah\n\n#2019GantiPresiden\n@anismatta @Fahrihamzah…,0,0,0,0,1,0,0,0
@faizalassegaf @LawanPoLitikJKW #Syi*h tukang fitnah...\n\n#2019GantiPresiden\n@anismatta @Fahrihamzah @MardaniAliSera…,0,0,0,0,1,0,0,0
@faizalassegaf Mulut comberan ala #Syi*h\n\n#2019GantiPresiden\n@anismatta @Fahrihamzah @MardaniAliSera @aheryawan…,0,0,0,0,1,0,0,0
"@faizalassegaf @NetizenTofa @MardaniAliSera @fadlizon #Syi*h doyan fitnah, ngibul, pecah persatuan\n\n#SaveNKRI…",0,0,0,0,0,1,0,0
@PKSejahtera @hnurwahid @msi_sohibuliman Sebaiknya melalui fraksi atau komisi di DPR mintakan klarifikasi kepada ke…,1,0,0,0,0,0,0,0
"JANGAN MAU DI ADU DOMBA !! Berfikirlah sedikit buat keselamatan NKRI dan kebaikan rakyat ,jangan saling serang hany…",0,0,0,0,0,1,0,0
@Pambudi29258901 @PKSejahtera @msi_sohibuliman Itulah bedanya dg junjunganmu wakil rakyat rasa tengkulak #2019GantiPresiden,1,0,0,0,0,0,0,0
"[NEWS] Temui Petani Garam, Presiden PKS Temukan Kebocoran Garam Impor \n\n\Kami meminta kepada pemerintah Jokowi agar…",0,0,0,0,0,0,1,0
"[NEWS] Peduli Nasib Petani, PKS Beli Garam Satu Ton \n\n\Kami membeli garam dari petani dengan harga yang wajar dan p…",0,0,0,0,0,0,0,1
@PKSejahtera @hnurwahid @msi_sohibuliman Saya beli 30ton garam petani ngak ada di pamerkan di medos pak ustad…,1,0,0,0,0,0,0,0
"@faizalassegaf @sandiuno @MardaniAliSera #Syi*h emg parah bgt mulutnya, \n\n#2019GantiPresiden\n@anismatta…",0,0,0,0,1,0,0,0
@EdoDonjuan @PKSejahtera @hnurwahid @msi_sohibuliman Anda semua keren baik yg 30 tne atau 1 tne sekalipun. Semua dlm kapasitasnya masing2,0,0,0,0,0,0,0,1
"@faizalassegaf Hati2, #Syi*h berusaha fitnah koalisi oposisi\n\n#2019GantiPresiden\n@anismatta @Fahrihamzah…",0,0,0,0,1,0,0,0
"@faizalassegaf Dasar #Syi*h ga tau malu, tukang fitnah\n\n#2019GantiPresiden\n@anismatta @Fahrihamzah @MardaniAliSera…",0,0,0,0,0,1,0,0
@IndoPluralitas @PKSejahtera @msi_sohibuliman @MardaniAliSera ini cobaan yah!!. ini cobaan yah !!!sebenarnya waktu…,0,0,0,0,0,1,0,0
@IndoPluralitas @PKSejahtera @msi_sohibuliman @MardaniAliSera Bagi kader pks ini gelar uztaz itu utk dr kepala samp…,1,0,0,0,0,0,0,0
"@IndoPluralitas @PKSejahtera @msi_sohibuliman @MardaniAliSera MULUT bicara SYARIAH, tapi OTAK mikirin SYAHWAT. VIRA…",0,0,0,0,1,0,0,0
@mkhumaini Kasian banget org ini.. @cakimiNOW saking inginnya dgn sebuah jabatan dia berani ngomong mendahului taqdir Alloh..,0,0,0,0,0,1,0,0
"Dukung @jokowi, Cak Imin Pede Bakal Dilirik jadi Cawapres #CakIminTheNextWapres\n@cakimiNOW @Mafirion @nblh_ayu…",1,0,0,0,0,0,0,0
"Dukung @jokowi, @cakimiNOW Pede Bakal Dilirik jadi Cawapres #CakIminTheNextWapres via @20detik",1,0,0,0,0,0,0,0
"Dukung Jokowi, Cak Imin Pede Bakal Dilirik Jadi Cawapres. \n\nCc. @jokowi",1,0,0,0,0,0,0,0
@PembawaCerita @wartapolitik @cakimiNOW Ulama hanya percaya kpd Allah kalo percaya sama yg lain namanya musyrik,1,0,0,0,0,0,0,0
"Dukung Jokowi, @cakimiNOW Pede Bakal Dilirik jadi Cawapres #CakIminTheNextWapres @jokowi @PDI_Perjuangan @evndari…",1,0,0,0,0,0,0,0
Muhaimin Iskandar Khawatir Jokowi Kalah di Pilpres 2019,0,1,0,0,0,0,0,0
"Memang akan kalah, orang dungu yg masih mendukungnya...cc.  @cakimiNOW",0,0,0,0,0,1,0,0
"Cak Imin: Nusakambangan Diserahkan ke NU, Teroris Jadi Kiai @cakimiNOW @nu_online @wiranto1947",1,0,0,0,0,0,0,0
Perasaaun dulu benci banget sama 212.  Ini adalagi relawan nasional 212. \nAyo! Sadarkan masyarakat! tidak mungkin 2…,0,0,0,0,0,0,0,1
"Gambaran pendukung Jokowi Ahok, menghalalkan segala cara. Mereka biang keributan di sini belakangan ini, mereka pro…",0,1,0,0,0,0,0,0
Ikhtiar para relawanan @cakimiNOW,0,0,0,0,0,0,0,1
"Kalo ga dapat cawapres, Cak Imin bikin poros ketiga dg PAN dan PKS saja mas @bambangelf. Usung Gatot - @cakimiNOW p…",1,0,0,0,0,0,0,0
"@cakimiNOW: Nusakambangan Diserahkan ke @nahdlatululama, Teroris Jadi Kiai #CakIminUntukIndonesia",0,0,0,0,0,0,1,0
@cakimiNOW Tangging amat cak gak sekalian pres aja biar kita makin ngakak gitu,0,0,0,0,0,0,0,1
"Dukung Jokowi, Cak Imin Pede Bakal Dilirik jadi Cawapres via @20detik",1,0,0,0,0,0,0,0
"Bukannya masih diperdebatkan soal masa jabatan ini?\n\nOk. Kalau pun gak bisa, barangkali @cakimiNOW bisa dipasangkan…",0,0,0,0,0,0,1,0
"Dukung Jokowi utk Pilpres 2019, Ketum PKB Muhaimin Iskandar hakul yakin dirinya dilirik Jokowi menjadi cawapres…",1,0,0,0,0,0,0,0
Selamat pak @KangFathanNow atas diraihnya apresiasi anugrah @jawapos  radar semarang dalam kategori \politicians co…,0,0,0,0,0,0,0,1
berkah,0,0,0,0,0,0,0,1
@PembawaCerita @cakimiNOW Sehati bangets,0,0,0,0,0,0,0,1
@permanaikrima @rmolco @jokowi @cakimiNOW SAYA SANGAT YAKIN JOKOWI - CAKIMIN,1,0,0,0,0,0,0,0
@detikcom @ZUL_Hasan Sudah cocoooook @jokowi @cakimiNOW pasangan terbaik untuk kemajuan bangsa,1,0,0,0,0,0,0,0
@rotitawarmanis @jokowi @cakimiNOW Mau nyalon jadi wakil ketua osis akh,0,0,0,0,0,0,1,0
"jangan buat malu Islam hanya karena ngotot mau dapat Jabatan, jadi Wapres apalagi Presiden nggak cukup modal Mantan…",0,0,0,0,0,1,0,0
"Politik Bangsa Didominasi Orang Tua, Al-Ghazali: Dorong Anak Muda Jadi Wapres 2019 - @cakimiNOW #2019AMIgantiwapres",0,0,0,0,0,0,0,1
@saididu Apa yg mau dibanggakan dr mahatir? Pemimpin otoriter. Sdh tua. Bukti tidak adanya generasi mumpuni di nege…,0,1,0,0,0,0,0,0
@korantempo @tempodotco prediksi saya fatal akibatnya kalau Pak @jokowi berpasangan dgn @cakimiNOW di Pilpres 2019.,0,0,0,0,0,0,1,0
"Cak Imin: Nusakambangan Diserahkan ke NU, Teroris Jadi Kiai",1,0,0,0,0,0,0,0
"Jangan ke Nusakambangan, kirim dan sebar dulu ulama NU ke BUMN, intansi pemerintah, stasiun televisi dan masih bany…",0,0,0,0,0,0,1,0
@fikrinathiq @jokowi @cakimiNOW Nnti saya jadi wakil lurah aja,0,0,0,0,0,0,0,1
@ruston669 @fadlizon @Gerindra @prabowo @cakimiNOW Pasti bang Prabowo S sangat arif dan cerdas,1,0,0,0,0,0,0,0
"Agen Piala Trophy Marmer Murah Siap Kirim Jakarta, Bandung, Tangerang, Surabaya",0,0,0,0,0,0,0,1
Teror Bom Buat Laga Persebaya Surabaya Lawan Persib Bandung Terancam Diundur,0,1,0,0,0,0,0,0
Klub Liga 1 Termasuk Persib Bandung Berbelasungkawa kepada ... - Tribun Jabar,0,0,0,1,0,0,0,0
"Bom Mapolrestabes Surabaya 4 Orang Tewas, Bandung Tetapkan Siaga Satu -",0,1,0,0,0,0,0,0
"RIFAN FINANCINDO BANDUNG | Rupiah Menguat, Aksi Bom Tak Ganggu Ekonomi |",0,0,0,0,0,0,0,1
"SURABAYA DIGUNCANG TEROR BOM, LAGA PERSEBAYA MELAWAN PERSIB TERANCAM DITUNDA !\n\n#dy33\n\nLaga Persebaya kontra Persib…",0,1,0,0,0,0,0,0
"@elLesmana Selamat siang, pengajuan klaim BPJS Ketenagakerjaan silahkan membuat surat perintah bayar dari kantor BP…",0,0,0,0,0,0,0,1
"3 hotel di bandung saidah guest house, menawarkan harga terjangkau yang di sukai turis dengan budget terbatas.",0,0,0,0,0,0,0,1
Karunya :(,0,0,0,1,0,0,0,0
Teror Bom Buat Laga Persebaya Surabaya Lawan Persib Bandung ... -,0,1,0,0,0,0,0,0
"Gamis rp.155rb utk usia 5-7thn tersedia di bandung baby shop maskarebet,",0,0,0,0,0,0,0,1
Pjs Wali Kota Bandung Nyatakan Seluruh Tempat Hiburan Malam di Kota Bandung Sudah Tutup,1,0,0,0,0,0,0,0
Kabar Larangan Dekati Pasar Baru hingga BIP di Bandung Hoaks,0,0,0,0,0,0,1,0
Marhaban ya Ramadan semoga selalu dimuliakan dan mendapatkan rahmatNYA dalam menjalani ibadah shaum bagi seluruh um…,0,0,0,0,0,0,0,1
@kynosii Selamat Siang Sahabat Pos. Untuk kantorpos besar Bandung yang berada di Jl. Asia Afrika buka setiap Senin-…,0,0,0,0,0,0,0,1
"Bebeksambalmerapi buka Dari 15.00 wib s/d 23.00 wib, belakang FLAT L Sarijadi-Bandung. #infobdg #infokuliner @infokulinerbdg",0,0,0,0,0,0,0,1
"@KompasKlasika Ketika memutuskan untuk menjadi seorang guru, saya pernah menganggap cukup mengajar di kelas. Nyatan…",1,0,0,0,0,0,0,0
IN SGD Bandung Tandatangani MOU Bersama Jinan University Lebanon,0,0,0,0,0,0,0,1
Pemkot Bandung Gelar Operasi Praja Wibawa Jaga Ketertiban Saat Ramadan -,0,0,0,0,0,0,1,0
Inilah program yg akan mudah dilaksanakan karena terukur untuk Jawa Timur makmur...\n#SedulurNgaji \n#GustiKediri…,0,0,0,0,0,0,0,1
@JOINKalsel @cakimiNOW Sluu dlm Kasih Sayang antar Sesama. C1NTA.,0,0,0,0,0,0,0,1
@Ibnasanmail @RamliRizal @cakimiNOW @jokowi @MRomahurmuziy Jokowi-Cak Imin vs Prabowo-@RamliRizal mantep juga ini..,0,0,0,0,0,0,0,1
ck imin ...semoga diridloi ilahi robbie menju JoIn..\n#SedulurNgaji \n@cakimiNOW \n@GusIpul_ID \n@halimiskandarnu,1,0,0,0,0,0,0,0
semoga barokah... #SedulurNgajiJember\n@cakimiNOW\n@GusIpul_ID\n@GunturPuti\n@halimiskandarnu\n@HadiNgusman…,0,0,0,0,0,0,0,1
"Ngaji bareng, bareng bareng ngaji kanggo jawa timur. ,kabeh sedulur kabeh makmur. \n#SedulurNgaji \n#GustiKediri…",0,0,0,0,0,0,0,1
@Umar_Hasibuan_ @MRomahurmuziy @cakimiNOW Ketum partai yg satu ini manusai munafik dan penjilat mkanya dia busa jd…,0,0,0,0,1,0,0,0
"Dari Medsos pun tahu, bahwa yg berpengalaman yg diidolakan...\n#SedulurNgaji \n#GustiKediri\n@cakimiNOW…",0,0,0,0,0,0,0,1
semoga barokah... #SedulurNgajiJember\n@cakimiNOW\n@GusIpul_ID\n@GunturPuti\n@halimiskandarnu\n@HadiNgusman…,0,0,0,0,0,0,0,1
Barsama para Kyai &amp; Masyayikh... jember #SedulurNgaji \n@cakimiNOW\n@GusIpul_ID\n@GunturPuti\n@halimiskandarnu…,0,0,0,0,0,0,0,1
Semoga alloh mengijabah doa menjadi pemimpin dan mampu melaksanakan program2 unggulan\n\n#SedulurNgaji \n#GustiKediri…,1,0,0,0,0,0,0,0
"Para Ulama mendoakan, Semoga Gus Ipul-mbak Puti berhasil memimpin Jawa Timur\n#SedulurNgaji\n#SedulurNgajiKabLumajang…",0,0,0,0,0,0,0,1
"Mandat dukungan cawapres 2019 untuk Cak Imin, tidak bisa dibendung lagi, di Lombok  NTB  semua elemen masyarakat me…",0,0,0,0,0,0,0,1
semoga barokah... #SedulurNgajiJember\n@cakimiNOW\n@GusIpul_ID\n@GunturPuti\n@halimiskandarnu\n@HadiNgusman…,0,0,0,0,0,0,0,1
"Para Ulama mendoakan, Semoga Gus Ipul-mbak Puti berhasil memimpin Jawa Timur\n#SedulurNgaji\n#SedulurNgajiKabLumajang\n@cakimiNOW\n@Gusipul_ID",1,0,0,0,0,0,0,0
Sedulur ngaji gawe noto ati\nKabeh makmur pilih Gus Ipul-Mbak Puti\n\n#SedulurNgaji\n\n@cakimiNOW\n@GusIpul_ID…,0,0,0,0,0,0,0,1
"@detikcom PKB nya Gus Dur iya, kalau PKB anda @cakimiNOW tidak!",1,0,0,0,0,0,0,0
"Gus Ipul sangat berpengalaman memimpin di Jatim, semoga menang menjadi Gubernur Jatim\n\n#SedulurNgaji \n \n@cakimiNOW…",1,0,0,0,0,0,0,0
"Gus Ipul sangat berpengalaman memimpin di Jatim, semoga menang menjadi Gubernur Jatim\n\n#SedulurNgaji \n \n@cakimiNOW…",1,0,0,0,0,0,0,0
"Berdoa dan berdzikir.Lantas berpikir, \Alhamdulillah kami pas dan yakin dengan pilihan kami  @GusIpul_ID.\ akan mam…",0,0,0,0,0,0,0,1
"@bambangelf Kayanya dia bukan orang NU, karena tdk paham... Dan blm bs memahami \Gitu Aja Kok Repot\nya Gus Dur...…",0,0,0,0,0,0,1,0
"Gus Ipul sangat berpengalaman memimpin di Jatim, semoga menang menjadi Gubernur Jatim\n\n#SedulurNgaji \n \n@cakimiNOW…",1,0,0,0,0,0,0,0
4. Aksi teroris kemarin pun tak ada hubungannya dg UU anto teroris. Tanya aparat yg tanggung jawab knp bisa kebobol…,0,1,0,0,0,0,0,0
Relawan Join Juga Kutuk Aksi Bom Bunuh Diri @cakimiNOW,0,0,0,0,1,0,0,0
Manortor setelah pemberian marga Harahap. @cakiminow sudah jadi warga Mandailing. Selamat ma atas penambalan marga…,0,0,0,0,0,0,0,1
Dimana bumi dipijak disitu langit dijunjung.. begitulah politik santun dan berakhlaqul karimah yg dipraktekkan…,0,0,0,0,0,0,0,1
@UmarMasdar @hanifdhakiri @cakimiNOW @ulil @fadjroeL @HidayahIslam1 penganut teroris dan radikalis bkn dari islam y…,1,0,0,0,0,0,0,0
WORO-WORO \nmoggo berduyun-duyun tepatnya tngl 15 mei 2018 ada: *.PARADE PATROL C1NTA\n*.PARADE BECAK C1NTA\nyang akan…,0,0,0,0,0,0,0,1
"Di Jombang bareng @wali_band_official sholawatan, nyanyi &amp; doa bareng-bareng demi perdamaian &amp; kemakmuran Jawa Timu…",0,0,0,0,0,0,0,1
